"","Email","Password","Name","Age","Gender","Office","Department","Title"
"45","kb76@nittany.edu","cqw7hrg3","Dr Kourtney Booth",51,"M","224, Building 15","ECON","Professor"
"46","ff47@nittany.edu","9uhmclic","Dr Finch Foster",50,"F","217, Building 3","CHEM","Head"
"47","rp85@nittany.edu","cukoqrzk","Dr Royal Parsons",44,"M","257, Building 3","CHEM","Professor"
"48","kn67@nittany.edu","sekbfhqm","Dr Konnor Nicholson",55,"M","170, Building 3","CHEM","Professor"
"49","rs84@nittany.edu","qui392mr","Dr Rudd Sullivan",53,"M","195, Building 10","IST","Head"
"50","rs62@nittany.edu","ogmh36q7","Dr Radcliff Silva",56,"M","274, Building 10","IST","Professor"
"51","mh33@nittany.edu","2xzermda","Dr Mina Harding",57,"F","184, Building 10","IST","Professor"
"52","jw68@nittany.edu","x2boxvpo","Dr Jair Woods",58,"M","213, Building 6","DS","Head"
"53","rr63@nittany.edu","m56icvld","Dr Ralf Reed",56,"M","270, Building 6","DS","Professor"
"54","ma43@nittany.edu","jlt1x825","Dr Marni Amor",56,"M","216, Building 6","DS","Professor"
